"year"	"category"	"n"
"1961"	"Beans"	33
"1962"	"Beans"	31
"1963"	"Beans"	31
"1964"	"Beans"	31
"1965"	"Beans"	27
"1966"	"Beans"	26
"1967"	"Beans"	28
"1968"	"Beans"	28
"1969"	"Beans"	34
"1970"	"Beans"	28
"1971"	"Beans"	29
"1972"	"Beans"	25
"1973"	"Beans"	31
"1974"	"Beans"	23
"1975"	"Beans"	28
"1976"	"Beans"	27
"1977"	"Beans"	27
"1978"	"Beans"	22
"1979"	"Beans"	27
"1980"	"Beans"	23
"1981"	"Beans"	23
"1982"	"Beans"	27
"1983"	"Beans"	27
"1984"	"Beans"	21
"1985"	"Beans"	30
"1986"	"Beans"	28
"1987"	"Beans"	22
"1988"	"Beans"	29
"1989"	"Beans"	25
"1990"	"Beans"	28
"1991"	"Beans"	31
"1992"	"Beans"	33
"1993"	"Beans"	32
"1994"	"Beans"	33
"1995"	"Beans"	33
"1996"	"Beans"	32
"1997"	"Beans"	32
"1998"	"Beans"	31
"1999"	"Beans"	33
"2000"	"Beans"	33
"2001"	"Beans"	31
"2002"	"Beans"	32
"2003"	"Beans"	31
"2004"	"Beans"	29
"2005"	"Beans"	31
"2006"	"Beans"	31
"2007"	"Beans"	30
"2008"	"Beans"	30
"2009"	"Beans"	30
"1961"	"Cereals, other"	10
"1962"	"Cereals, other"	9
"1963"	"Cereals, other"	5
"1964"	"Cereals, other"	7
"1965"	"Cereals, other"	10
"1966"	"Cereals, other"	9
"1967"	"Cereals, other"	8
"1968"	"Cereals, other"	8
"1969"	"Cereals, other"	10
"1970"	"Cereals, other"	6
"1971"	"Cereals, other"	10
"1972"	"Cereals, other"	9
"1973"	"Cereals, other"	8
"1974"	"Cereals, other"	8
"1975"	"Cereals, other"	11
"1976"	"Cereals, other"	12
"1977"	"Cereals, other"	9
"1978"	"Cereals, other"	8
"1979"	"Cereals, other"	11
"1980"	"Cereals, other"	11
"1981"	"Cereals, other"	15
"1982"	"Cereals, other"	0
"1983"	"Cereals, other"	0
"1984"	"Cereals, other"	0
"1985"	"Cereals, other"	0
"1986"	"Cereals, other"	0
"1987"	"Cereals, other"	0
"1988"	"Cereals, other"	0
"1989"	"Cereals, other"	0
"1990"	"Cereals, other"	0
"1991"	"Cereals, other"	0
"1992"	"Cereals, other"	0
"1993"	"Cereals, other"	0
"1994"	"Cereals, other"	0
"1995"	"Cereals, other"	0
"1996"	"Cereals, other"	0
"1997"	"Cereals, other"	0
"1998"	"Cereals, other"	0
"1999"	"Cereals, other"	0
"2000"	"Cereals, other"	0
"2001"	"Cereals, other"	0
"2002"	"Cereals, other"	0
"2003"	"Cereals, other"	1
"2004"	"Cereals, other"	2
"2005"	"Cereals, other"	2
"2006"	"Cereals, other"	2
"2007"	"Cereals, other"	3
"2008"	"Cereals, other"	3
"2009"	"Cereals, other"	4
"1961"	"Maize"	78
"1962"	"Maize"	77
"1963"	"Maize"	79
"1964"	"Maize"	82
"1965"	"Maize"	84
"1966"	"Maize"	86
"1967"	"Maize"	84
"1968"	"Maize"	75
"1969"	"Maize"	74
"1970"	"Maize"	70
"1971"	"Maize"	67
"1972"	"Maize"	64
"1973"	"Maize"	64
"1974"	"Maize"	65
"1975"	"Maize"	66
"1976"	"Maize"	74
"1977"	"Maize"	80
"1978"	"Maize"	80
"1979"	"Maize"	83
"1980"	"Maize"	85
"1981"	"Maize"	89
"1982"	"Maize"	88
"1983"	"Maize"	95
"1984"	"Maize"	103
"1985"	"Maize"	112
"1986"	"Maize"	124
"1987"	"Maize"	138
"1988"	"Maize"	138
"1989"	"Maize"	144
"1990"	"Maize"	146
"1991"	"Maize"	147
"1992"	"Maize"	143
"1993"	"Maize"	140
"1994"	"Maize"	128
"1995"	"Maize"	128
"1996"	"Maize"	127
"1997"	"Maize"	124
"1998"	"Maize"	124
"1999"	"Maize"	123
"2000"	"Maize"	126
"2001"	"Maize"	148
"2002"	"Maize"	136
"2003"	"Maize"	135
"2004"	"Maize"	160
"2005"	"Maize"	156
"2006"	"Maize"	154
"2007"	"Maize"	153
"2008"	"Maize"	151
"2009"	"Maize"	151
"1961"	"Millets"	0
"1962"	"Millets"	0
"1963"	"Millets"	0
"1964"	"Millets"	0
"1965"	"Millets"	0
"1966"	"Millets"	0
"1967"	"Millets"	0
"1968"	"Millets"	0
"1969"	"Millets"	0
"1970"	"Millets"	0
"1971"	"Millets"	0
"1972"	"Millets"	0
"1973"	"Millets"	0
"1974"	"Millets"	0
"1975"	"Millets"	0
"1976"	"Millets"	0
"1977"	"Millets"	0
"1978"	"Millets"	0
"1979"	"Millets"	0
"1980"	"Millets"	0
"1981"	"Millets"	0
"1982"	"Millets"	0
"1983"	"Millets"	0
"1984"	"Millets"	0
"1985"	"Millets"	0
"1986"	"Millets"	0
"1987"	"Millets"	0
"1988"	"Millets"	0
"1989"	"Millets"	0
"1990"	"Millets"	0
"1991"	"Millets"	0
"1992"	"Millets"	0
"1993"	"Millets"	0
"1994"	"Millets"	0
