ItemName,Year,AvgValue
Beans,1961,33
Beans,1962,31
Beans,1963,31
Beans,1964,31
Beans,1965,27
Beans,1966,26
Beans,1967,28
Beans,1968,28
Beans,1969,34
Beans,1970,28
Beans,1971,29
Beans,1972,25
Beans,1973,31
Beans,1974,23
Beans,1975,28
Beans,1976,27
Beans,1977,27
Beans,1978,22
Beans,1979,27
Beans,1980,23
Beans,1981,23
Beans,1982,27
Beans,1983,27
Beans,1984,21
Beans,1985,30
Beans,1986,28
Beans,1987,22
Beans,1988,29
Beans,1989,25
Beans,1990,28
Beans,1991,31
Beans,1992,33
Beans,1993,32
Beans,1994,33
Beans,1995,33
Beans,1996,32
Beans,1997,32
Beans,1998,31
Beans,1999,33
Beans,2000,33
Beans,2001,31
Beans,2002,32
Beans,2003,31
Beans,2004,29
Beans,2005,31
Beans,2006,31
Beans,2007,30
Beans,2008,30
Beans,2009,30
"Cereals, other",1961,10
"Cereals, other",1962,9
"Cereals, other",1963,5
"Cereals, other",1964,7
"Cereals, other",1965,10
"Cereals, other",1966,9
"Cereals, other",1967,8
"Cereals, other",1968,8
"Cereals, other",1969,10
"Cereals, other",1970,6
"Cereals, other",1971,10
"Cereals, other",1972,9
"Cereals, other",1973,8
"Cereals, other",1974,8
"Cereals, other",1975,11
"Cereals, other",1976,12
"Cereals, other",1977,9
"Cereals, other",1978,8
"Cereals, other",1979,11
"Cereals, other",1980,11
"Cereals, other",1981,15
"Cereals, other",1982,0
"Cereals, other",1983,0
"Cereals, other",1984,0
"Cereals, other",1985,0
"Cereals, other",1986,0
"Cereals, other",1987,0
"Cereals, other",1988,0
"Cereals, other",1989,0
"Cereals, other",1990,0
"Cereals, other",1991,0
"Cereals, other",1992,0
"Cereals, other",1993,0
"Cereals, other",1994,0
"Cereals, other",1995,0
"Cereals, other",1996,0
"Cereals, other",1997,0
"Cereals, other",1998,0
"Cereals, other",1999,0
"Cereals, other",2000,0
"Cereals, other",2001,0
"Cereals, other",2002,0
